328:17,26238,51197,60839,96389,112940,3,6,7,8
331:17,302,29,58,616,654,61,322,486,6
345:11841,42061,337,77581,1754,39936,385,11401,11281,45975
361:17,302,654,84,542,6,1102,62,211,58
376:654,17,6,8,15,29,58,162,239,302
384:58,17,861,238,302,486,616,654,45,114
401:17,8,302,518,654,84,76,564,101,736
402:17,58,616,654,302,29,650,76,6,8
410:168,564,719,1352,1527,3107,189,5480,17,22
448:17,508,32,65,554,861,656,1097,1410,1987
449:76,508,542,564,1023,1382,327,656,262,496
450:17,616,58,654,302,518,8,542,564,61
452:1097,445,67031,67959,101487,3296,38277,17572,106188,76299
476:9006,1451,11122,12020,12344,18985,78694,79909,548,1139
488:17,654,8,616,302,650,32,58,84,245
490:17,616,654,58,302,8,518,542,84,564
494:302,17,616,650,654,61,76,58,861,6
500:3,4,6,8,10,11,13,14,15,16
514:168,32,2370,236,409,1578,12118,5235,24196,17
525:17,81,8,76,226,899,48,103,262,1119
535:17,302,616,654,58,84,8,15,29,6
536:17,564,1023,1196,1382,1535,116,353,143,493
538:17,8,84,518,378,542,787,902,1410,1930
539:302,616,17,76,650,224,62,363,654,902
564:17,302,616,654,58,29,542,101,70,138
582:17,58,302,654,8,542,101,289,650,554
585:354,1023,1332,1595,179,3377,15861,348,579,673
590:17,302,58,616,84,138,289,1102,86,521
601:51329,27493,583,226,90819,90054,27912,121660,94414,75023
618:70,81,598,698,754,1511,17,2131,3269,10453
624:378,71256,6310,51394,3,6,16367,8,10,11
627:13348,110991,36266,607,31368,14210,41261,27412,79211,68242
628:2051,10244,8,17390,11,71695,18449,59548,2070,18456
632:44,225,98495,611,3819,4194,98961,101020,8621,35604
633:17,616,302,542,654,8,58,861,15,101
634:81,375,2967,4575,32768,3,4,6,8,10
646:361,2139,254,866,698,1728,8218,13420,1649,1730
666:5319,33228,7268,12169,1997,13247,36865,20673,12501,54030
667:17,508,616,650,58,8,15,97,302,654
669:652,2869,28679,8,92171,2060,16397,51214,2733,8208
678:616,138,327,486,140,1762,5998,345,615,659
680:17,302,616,58,654,542,8,76,15,29
681:1002,2715,3506,168,564,353,378,774,1326,2028
682:168,719,984,8860,661,5480,574,1326,1400,463
683:6740,663,66734,89303,113893,111888,32065,110546,34823,15
684:4394,1803,5023,11019,12962,1124,39616,56965,47336,21204
715:203,26181,22560,51546,38083,94892,695,113112,108342,80360
716:17,58,302,616,654,6,8,15,29,5670
741:719,2103,168,721,2582,2632,4877,9265,363,877
750:17,616,302,654,58,542,518,650,29,84
754:17,302,15,616,650,654,58,8,518,564
756:17,302,58,654,29,6,518,616,8,15
757:190,7752,50356,23961,736,2476,3505,6476,7258,11534
758:502,5107,7514,17581,6575,16508,12760,15134,18492,27015
763:302,58,654,616,6,76,162,17,238,285
773:65543,753,1709,5017,33867,11886,122715,20656,17,3
774:616,654,58,542,17,15,29,861,101,302
775:17,302,616,654,8,58,29,61,84,650
782:17,947,7901,363,435,1126,1382,6613,9057,70
784:616,654,17,58,8,15,61,564,32,245
793:17,49,84,302,1998,6589,3427,3466,4363,6462
803:899,48,1187,875,2162,17,2935,109,8,6
813:17,58,8,15,245,32,302,616,76,322
815:17,616,81,650,780,301,262,1086,1403,1549
817:17,302,654,6,8,15,29,58,84,76
818:168,719,661,801,1400,2833,9783,176,375,12254
823:508,1002,1065,219,1113,2715,764,9567,1154,1644
825:17,302,15,84,245,32,61,76,564,616
833:17,616,654,542,15,518,302,61,32,58
835:17,8,58,226,289,302,364,554,616,483
838:817,857,17351,10175,76815,3,8,40971,32782,15
844:17,302,616,654,84,138,224,564,650,322
850:361,829,98304,3,32773,6,8,106448,10,11
856:17,616,302,654,58,8,542,518,15,650
857:17,654,58,616,302,29,285,902,8,6
874:17,616,654,245,8,15,542,61,32,564
891:3,32773,6,8,10,11,14,15,17,18
899:245,508,17,65,409,486,358,710,295,392
900:3367,4941,9388,11641,2447,17,398,407,874,2602
911:17,2406,901,1002,1176,1355,2326,2717,5693,6906
918:76,508,564,119,301,354,500,546,1382,17
925:736,810,1957,896,1236,44966,4414,39318,114501,80361
926:17,654,616,302,58,15,29,61,8,84
937:17,8,84,15,902,1102,6,224,999,356
949:920,95433,118218
964:245,774,1827,2696,2714,131,1524,3506,301,2955
970:20931,2026,939,29822,19925,14636,8,2656,102400,34817
977:17,302,616,654,58,8,542,84,564,861
981:441,13,1065,16036,945,2991,6349,7869,16332,12094
982:48,899,947,1187,100370,107868,10930,77383,83614,62011
984:302,518,1030,285,363,65,1102,17,45,1267
992:17,81,508,8,15,32,58,61,65,70
993:17,8,302,70,650,866,2528,4326,16676,29
998:8,518,70,508,17,226,736,81,500,1023
1000:17,302,616,654,15,564,650,32,76,364
1007:17,302,58,616,654,650,76,8,29,162
1027:168,719,463,984,5480,8860,72,574,661,760
1028:17,8,84,302,616,654,6,15,58,29
1044:17,302,1102,8,58,155,76,84,409,429
1045:17,302,616,654,15,29,32,58,245,8
1049:698,81,3,8,65548,15,17,66697,3105,3148
1068:57396,114991,82879,1018,83286,2021,69980,4547,69821,37706
1069:17,302,616,58,15,245,650,899,289,354
1070:17,654,302,8,616,58,29,61,101,289
1082:17,58,302,616,654,8,29,76,564,289
1083:108662,4903,31086,363,13829,518,8,394,21899,654
1088:17,518,76,8,70,616,58,245,302,902
1094:17,302,654,8,518,84,15,245,542,76
1116:17,179,873,1050,302,385,500,1091,2139,6
1121:17,1061,14573,26579,116736,6,10247,8,10,2060
1125:17,518,8,15,245,70,101,289,354,508
1127:787,32,3039,94,364,508,554,2302,17,327
1132:616,17,61,58,65,81,302,6,8,15
1133:17,302,616,654,58,245,542,84,564,29
1140:17,654,650,302,616,861,1196,6,58,162
1141:1077,1468,7334,1551,11559,81853,64938,97742,57828,3
1148:834,36630,44,377,40434,2021,67907,2982,1084,2532
1153:302,17,8,84,101,616,58,654,70,1196
1163:93420
1166:245,1987,65,119,327,472,2200,3233,4967,378
1172:508,542,17,32,564,650,402,238,554,58
1192:654,15,17,32,84,289,285,354,508,103
1204:17,58,3,6,8,15,29,61,146,302
1208:17,58,302,616,654,6,8,15,29,1140
1209:508,17,72,76,891,1790,10267,302,1435,8
1234:760,2370,8733,2833,13567,16956,224,1081,1867,4792
1236:202,327,3,8,17,390,1171,3361,5618,13049
1245:17,48,62,223,327,899,1119,2140,2583,3354
1263:616,654,17,302,29,15,58,6,61,162
1267:7526,8064,8647,11810,14071,17651,21124,23019,23688,24512
1269:1527,10041,1206,1352,3172,4755,4825,2880,3107,6601
1288:9595,12557,23313,1219,21715,26123,26303,13282,1017,34691
1295:17,58,302,654,8,29,84,285,650,162
1296:17,302,616,654,6,8,15,29,58,45
1302:58,17,61,364,564,138,302,394,236,268
1305:17,616,654,58,302,6,8,15,29,84
1342:8,7315,65536,3,44474,6,10,11,65548,13
1382:736,65,1410,119,496,199,295,1152,1287,383
1389:4245,6635,518,30727,65418,1804,15,71313,11843,85140
1391:16935,17426,1310,5741,34309,26376,8192,32768,49155,92746
1397:81,33017,1888,986,1316,8586,3423,140,226,3
1402:17,654,15,302,542,616,29,58,285,861
1405:1323,15022,92558,24722,4697,96890
1407:123012,54601,18420,8192,3,1366,6,73735,8,10
1408:8,17,76,6439,3,4,6,84,654,7
1409:17,302,654,58,84,616,8,29,76,518
1412:138,1329,78442,116889,123125,114068,654,1091,6,8
1413:17,302,654,616,58,29,8,84,518,650
1418:17,302,616,8,58,84,518,29,301,6
1419:1352,1527,189,2880,3107,4755,10041,1206,1923,3172
1420:17,84,302,654,8,29,58,94,138,301
1427:616,302,654,17,58,542,76,32,508,650
1430:1345,7809,7907,10258,12439,14220,17800,47000,616,564
1431:17,302,58,654,29,616,8,6,15,61
1435:17,654,302,542,8,15,616,518,58,32
1437:238,6,8,17,40,1023,1344,1677,65536,3
1441:27322,5120,2055,8,11,13,15,17,8211,2068
1447:65,327,508,1405,32,119,245,496,656,967
1448:65983,1361,3307,7024,3,6,8,32777,10,11
1457:1023,1332,1063,34053,1369,68635,3691,7530,8155,8532
1458:245,518,654,61,542,8,94,1405,103,131
1469:17,654,302,616,58,8,15,29,650,62
1477:8,17,65,119,564,131,1382,873,1987,302
1486:16697,463,617,684,98806,68452,93820,49917,46039,6901
1490:327,358,361,7334,709,1126,1360,1402,69229,8558
1491:17,29,302,6,8,58,510,616,859,1196
1500:17,616,654,8,542,508,101,94,238,289
1503:17,302,654,58,616,8,29,84,518,542
1517:78351,57598,16202,16758,1430,29593,73650,74316,13313,52651
1518:656,327,873,2026,2031,12045,22441,30816,37364,3172
1535:17,616,8,76,238,564,518,62,224,861
1551:17,302,654,58,29,84,616,76,6,101
1552:35722,1465,3,6,8,11,14,15,10256,17
1553:15,17,5927,73,152,486,2512,654,3929,58
1559:17,58,285,542,301,302,45,162,486,616
1560:616,542,654,8,17,245,32,787,289,1405
1561:654,302,8,564,17,32,650,861,238,364
1562:17,302,58,76,84,354,654,61,285,301
1569:57656,17317,986,1485,75558,34919,26958,33170,52242,26638
1570:18,534,1016,1486,1512,2342,2668,68479,4765,7648
1588:9236,1503,88519,32297,6,15,17,29,32,48
1589:17,302,29,1200,65,262,301,787,873,199
1591:69776,1506,62108
1601:17,61,378,398,1344,52926,302,383,414,511
1602:245,1405,542,65,364,70,94,1703,103,1002
1629:17,542,8,15,58,245,302,364,564,518
1634:811,17855,13896,6,8,15,17,8213,16406,28
1642:17,616,15,61,29,84,285,302,322,902
1653:15,518,17,285,289,508,902,1196,1927,616
1654:17,654,616,58,15,302,61,76,6,861
1655:17,302,616,58,84,518,654,6,8,101
1668:17,58,302,654,542,616,61,245,285,322
1681:302,654,787,76,1471,17,354,378,946,199
1703:17,245,8,899,1187,48,322,787,1410,891
1721:15,17,58,289,8739,654,9916,36175,6215,49153
1727:36752,37455,47134,20744,20963,19929,58142,25974,32280,1623
1728:17,654,29,3,58,302,616,6,8,15
1745:15,65,61,1164,1646,1744,2200,13770,7732,9226
1746:114,239,1403,1960,3304,39311,8056,8150,78939,14518
1751:1077,17,787,8075,1131,103,931,24775,27788,813
1756:685,1440,1656,2113,3421,3441,5723,6704,12914,14316
1758:17,564,45,8,58,103,238,190,302,409
1761:10451,4194,23102,46994,14600,66881,37312,41065,74367,1659
1767:17,302,654,616,8,29,15,58,6,30
1779:25515,83224,86913,93097,1674,56748,103533,65741,67185,37843
1780:122371,518,8,50698,85003,119320,25114,10246,9052,37930
1783:616,654,322,564,190,1196,3,1239,17,278
1787:17,8,302,654,58,84,542,861,1102,114
1788:81,70,76,226,564,986,653,1435,1749,2275
1794:61,542,364,17,94,103,322,546,568,616
1796:17,302,616,58,564,76,654,518,6,101
1803:17,58,302,354,616,650,654,1196,6,8
1820:1527,3107,4755,3172,4825,327,431,1707,2711,40497
1821:245,17,8,15,58,6,61,29,32,3
1822:17,15,76,542,564,650,302,58,363,364
1823:17,302,654,616,58,8,29,518,84,101
1840:17,302,654,58,8,84,29,518,15,76
1841:168,719,661,1230,9874,7235,34397,13848,14593,22395
1842:17,654,58,84,101,289,302,616,6,8
1850:518,239,1736,2555,43132,15522,4008,6895,84310,57212
1853:1200,15169,1737,4471,14365,23163,26082,28972,37064,54767
1854:17,616,58,302,654,15,29,518,61,542
1862:17,654,76,8,58,84,518,29,101,354
1880:48,899,70,1187,2162,6450,17,1545,34362,57731
1883:17,616,564,15,84,508,364,736,902,554
1890:17,236,49,188,414,1348,803,4724,10075,10641
1891:6,17,331,2674,65536,3,7,8,10,11
1893:17,542,8,518,616,654,58,302,650,32
1894:17,76,302,650,65,363,236,238,656,1535
1911:97217,11490,50448,103762,17966,24319,77921,29727,42263,44685
1912:8,17,58,70,302,3,6,15,29,76
1913:17,363,302,1794,1822,1920,2369,8052,15660,15754
1930:840,157,27070,3196,10541,1807,26925,2548,7160,20920
1932:500,1730,4413,5670,34315,70095,105874,8502,42802,10039
1950:17,302,654,616,58,8,84,518,29,650
1951:3,8197,6,8,11,14,15,17,24579,16404
1952:17,302,654,58,616,29,650,8,542,15
2005:17,616,58,654,8,302,84,861,15,542
2017:20832,89797,14132,111332,1882,105631,58208,47586,101380,13894
2025:65536,8197,6,8,40970,8203,15,17,49178,29
2030:81,780,17,194,999,1109,1475,807,1374,1893
2034:22975,39774,91758,1895,35598,4012,64599,57937,9914,6186
2038:17,466,1690,72494,55410,12222,18907,3,6,8
2046:17646,15020,23245,87209,3372,19871,57841,26205,8689,31734
2058:69,3440,38690,1917,1617,17944,12597,93408,5634,3
2068:518,61,32,103,4268,1023,1987,999,1126,81
2070:685,1440,1656,2113,3421,3441,5723,6704,12914,14316
2071:17,8,654,542,15,84,138,564,902,32
2072:17,8,84,899,48,65,1187,422,2030,6700
2074:10981,911,2139,8772,1931,5304,5372,6977,8529,13971
2075:17,616,58,518,1405,29,289,354,226,364
2076:1933,89239
2077:302,8,84,17,542,70,354,1405,65,1410
2080:616,17,302,8,58,554,654,15,483,518
2085:1050,508,17,10511,23,32,16852,26067,70,282
2097:17,518,542,8,1405,76,327,902,101,650
2112:168,378,719,17,354,760,1013,1764,76,361
2115:518,17,327,1987,409,2193,188,262,472,361
2116:245,518,182,322,899,48,2935,17,239,353
2123:17,84,302,301,327,354,8,1119,1187,2162
2135:81,356,508,17,953,986,1410,1555,2620,4422
2141:86181,27507,76706,24068,40527,1993,683,8197,6,10247
2147:18114,49,18137,1998,3427,3466,4363,20104,53597,20911
2154:168,76,984,1400,574,135,2153,2370,8733,9874
2160:17,58,616,654,542,101,289,302,15,8
2162:168,40610,9395,46445,35033,54384,92744,20939,60979,984
2170:616,654,17,32,58,302,508,554,861,1196
2177:3,6,8,10,15,8208,17,32789,22,25
2184:17,29,302,654,4456,7178,3533,5436,10964,12189
2185:294,546,1332,1348,1499,2031,17,2342,3968,4008
2187:2033,24747
2211:840,2548,4232,25874,45890,10694,18936,51047,54880,55435
2223:500,2869,46525,117055,2,3,4,6,8,10
2243:65,1002,103,363,787,1382,226,1065,3233,1471
2244:17,616,302,15,58,654,8,76,518,650
2247:17,8,76,2088,224,2266,853,9514,10162,11571
2250:2091,31607,19633,34058,54861,6145,2051,22533,6,4103
2253:81,140,500,780,17,58,70,226,348,1344
2260:44354,45572,41132,78349,36850,2099,120278
2261:17,8,302,518,616,654,84,58,245,508
2262:2102
2290:17,616,302,654,58,8,84,76,564,861
2291:17,302,654,58,616,650,8,15,29,542
2293:8,518,119,2026,2656,289,4300,9093,14636,25
2301:6,8199,8,10249,4106,67245,14352,17,45074,30742
2302:2142,16229,5587,20300,2559,66560,15873,46942,15875,518
2304:168,72,1069,2318,8860,1131,1970,2145,2685,36424
2318:17,616,302,8,58,518,542,650,861,6
2325:17,518,3,6,8,4364,7,10,11,15
2335:58,17,564,76,650,6,62,101,224,285
2343:2180,104651,29227,7071,70575,108101,17,94208,409,6
2346:3,6,8,10,11,13,14,15,16,17
2347:120828,18156,84816,16248,22345,86025,99856,4113,52756,100373
2348:17,81,29,518,302,654,58,138,616,162
2362:58403,109679,2197,61944,35855,87518
2363:58,654,17,302,616,1822,6,8,15,29
2364:17,58,182,224,654,289,302,542,616,1245
2369:226,398,385,1131,1534,2447,9629,11623,15395,2201
2373:8,70,226,518,17,84,2205,60405,67482,3
2381:17,302,58,616,654,29,8,84,6,15
2382:76,2140,1606,2955,4364,2063,2212,2752,4690,5279
2384:48,899,875,1187,2162,398,6450,17,35018,41259
2385:17,302,654,15,29,58,542,616,32,1196
2392:2222
2393:17,32,119,8,302,378,409,616,654,873
2394:17,8,518,354,103,199,999,1382,40,254
2395:302,58,654,17,616,29,542,6,861,162
2399:70,17,81,354,508,124,225,9289,521,675
2405:616,17,302,58,564,654,61,542,861,8
2407:361,2237,35535,4963,5097,10043,12458,14237,112889,81686
2408:17,2238,10569,16120,24540,29055,42572,52925,59536,79750
2419:2249,2372,3,24580,6,8,10,11,15,8208
2429:829,3,6,8,114698,11,43587,888,14,15
2447:17,58,302,616,654,6,8,15,29,138
2452:25216,10127,77590,27927,8349,12832,24481,27176,19626,95533
2453:13396,128,16642,78361,13189,263,68631,50572,50818,1551
2454:4755,378,698,10041,3172,4825,117,371,714,826
2456:302,40,564,654,1109,17,2284,76346,84860,76
2461:17,616,654,302,58,8,15,650,76,84
2464:17,302,84,29,70,138,236,361,363,866
2465:17,302,654,29,1190,1410,1631,3233,1886,2294
2469:17,15,654,301,364,1023,1382,472,674,1549
2489:168,661,60765,2318,3,6,8199,8,8201,24588
2491:33741,2319
2499:42693,5869,2329,74352,29347,63988,114015,1097,65536,24579
2500:17,302,311,327,358,378,379,730,866,947
2501:1825,2330,8680,3,6,8,10,11,65548,13
2505:302,17,8,101,285,861,58,568,616,654
2510:10291,10406,2337,2869,14435,111861,3,6,8199,8
2515:76,3159,4023,8554,11543,238,19648,749,1402,8692
2518:1730,10039,2139,11454,1377,2063,7085,83036,96083,33652
2520:17,518,8,616,302,654,58,61,245,508
2521:17,70,138,999,1348,4414,788,946,5998,1299
2524:29,394,3,6,8,10,65548,15,17,654
2536:17,616,654,58,302,61,650,29,15,542
2541:17,616,58,302,542,654,289,508,6,8
2547:97,116,182,224,236,8,17,302,675,1693
2553:2374,21406,34846,41115,64189,23309,21344,44131,55188,30616
2558:168,719,984,1326,1400,5480,8860,2103,8733,135
2560:17,302,654,8,542,518,650,61,32,58
2563:17,616,302,654,58,542,8,518,32,15
2573:17,302,654,58,616,542,650,15,564,8
2591:1196,409,650,766,966,1550,17,3711,58,302
2596:1822,151,6,8,5578,15521,50153,17,302,15
2597:3,4,6,8,10,11,65548,13,14,15
2601:4671,654,2215,3039,5512,6475,7622,9594,9790,11539
2604:4575,25910,65,81,2423,3054,3126,21207,57974,26480
2611:17,301,94,873,947,8,302,616,654,1057
2612:17,616,302,654,58,8,542,564,650,15
2615:17,616,302,654,58,15,8,518,542,1405
2625:8,17,70,774,1501,1744,1925,2275,2696,8538
2626:17,302,654,58,616,8,29,650,15,542
2634:6514,7877,15437,22258,33809,36778,29562,37015,67107,61
2636:17,302,65,221,238,301,4032,4113,10274,16190
2639:87556,5455,27648,31143,1382,41085,77754,2449,35688,120102
2650:21562,32005,8836,46994,57321,10220,2462,87621,3,43013
2661:3213,320,33888,73760,80831,49024,49910,17720,59566,101229
2663:873,947,2473,68888,74912,97927,3,6,8,10
2666:17,58,302,45,409,616,654,76,8,15
2676:276,32895,2252,2485,3900,4228,37149,4864,6456,9041
2689:65,508,1140,30,122,568,204,221,372,392
2693:109965,418,9827,63096,94977,117290,121492,121778,112013,67824
2708:518,17,508,76,354,1023,1405,364,289,131
2709:103,2302,327,4364,4422,4967,17,472,245,535
2713:1405,32,353,518,10825,578,2268,2516,2531,25254
2715:168,719,5480,463,984,1326,1528,7838,8860,574
2716:13312,8,92678,11,14348,98317,2062,44717,2064,17
2727:17,302,654,58,322,616,15,29,518,542
2730:302,245,564,17,32,902,94,131,238,1126
2731:17,302,654,58,29,70,138,289,616,363
2734:2533,87082,5729,8197,6,8199,8,10,11,13
2735:4755,1352,189,2880,10041,3704,5624,6434,8,3786
2737:1348,3,33825,6,7,8,10,11,14,15
2745:103,361,4967,866,4422,986,2543,6066,8398,9572
2746:2312,47346,27014,2439,82402,4158,38180,28632,32863,20922
2748:17358,99620,91945,75919,2545,52976,38282,63188,6821,64602
2756:17,302,356,2552,6,8,15,29,58,62
2760:17,616,654,58,302,61,6,8,15,29
2776:2567
2799:441,2593,3847,39227,79368,53058,30939,98307,4,6
2802:6281,8065,30191,32931,37974,52522,23386,70532,17,58
2803:48155,43002,94755,33572,11718,88529,2074,2595,19829,97817
2804:1764,6,8,15,17,94,182,3,224,714
2805:2048,38915,6,8,2058,15,17,14355,8213,20506
2812:17,616,58,84,518,1102,899,1023,1196,1239
2815:399,10648,8199,13,14,15,17,8211,22,29
2827:1822,147,493,151,578,1811,2535,2615,5343,7477
2831:17,302,616,650,70,861,146,1102,521,692
2846:17,8,58,289,486,188,302,483,616,15
2848:17,302,58,616,654,542,564,8,15,518
2853:262,34823,3081,89994,68624,29458,2326,27420,62238,18850
2854:17,409,899,48,875,1187,2162,7171,11655,15368
2857:1043,3514,6417,18359,38738,8898,48474,42264,30739,97
2858:616,654,58,302,8,486,518,285,861,1140
2861:8772,30936,219,832,2047,30975,67464,2917,6264,3907
2871:149,1352,1991,2028,2051,5184,5254,99141,43587,26723
2907:17,29,32,302,873,58,616,654,749,855
2912:1790,2068,9289,226,2704,2852,2749,3473,4320,5522
2914:17,616,6,8,58,84,302,564,654,518
2924:168,2715,3177,72056,44843,12207,27414,574,984,8860
2925:4425,4427,4586,9867,11612,43927,26966,26985,2548,2717
2947:63775,33315,28341,66050,3969,32523,28184,107284,69910,18970
2951:6168,18529,65536,3,20485,6,3073,8,18447,17
2959:429,33780,67553,2755,5523,72405,76090,83782,12940,13850
2960:17,245,363,8,58,302,327,654,787,1119
2963:17,114,1196,6007,8,58,546,736,6,15
2965:10247,8,12301,3757,17,8211,4116,21,4119,10267
2967:17,1410,1205,103,616,827,1987,8,245,302
2970:483,861,17,394,616,273,1822,17925,1127,2762
2977:283,1589,4262,3,6,8,10,11,13,14
2981:17,302,616,654,58,15,6,61,8,354
2989:17,199,358,1475,8,6,15,58,76,87
2990:9127,8345,741,10348,5671,17271,440,11219,4016,12181
3002:2799
3004:719,168,661,2103,984,1124,1230,7994,10267,6416
3011:84226,109829,123142,59912,1164,5517,654,120408,112786,60691
3013:378,533,931,603,1790,1991,3864,5254,653,953
3037:2826
3038:247,2031,2827,54142,13889,81051,3,46373,6,8199
3044:17,8,273,363,289,8384,94,101,542,554
3070:6901,76,1651,2354,2528,35660,12093,24647,26437,28279
3081:98,301,1556,3323,4453,2870,12852,46050,67881,89042
3100:17,58,302,616,654,6,8,15,29,32
3102:168,984,24581,8,13,14,15,16,17,8211
3105:542,616,94,450,790,2892,10850,12379,17,26322
3107:81,226,508,564,698,986,1462,1790,17,311
3110:17,32,81,2307,4021,8,58,3,6,15
3111:17,554,409,1444,215,1746,1293,2440,3143,3971
3113:429,6546,7067,33716,74856,20161,32755,45625,97005,76
3121:17,302,58,616,654,84,29,8,76,518
3125:17,138,86,301,302,3216,6,8,29,58
3126:2907,86726
3129:17,654,58,15,616,302,650,101,162,1196
3139:866,72314,51172,3,32773,6,8,10,11,14
3144:8,168,2135,358,877,1013,2139,10420,10902,21903
3152:409,225,925,1254,1276,1471,1822,2140,4187,5084
3166:34472
3167:2139,698,736,40,124,375,535,1131,1344,1164
3169:17,1535,70,787,902,656,226,999,103,486
3170:508,1133,3,33825,6,7,8,10,11,65548
3172:8,17,1254,2953,36074,5252,3,6,10,11
3176:17,302,654,58,616,29,61,15,32,542
3183:302,2354,2528,17,358,1462,3599,4110,4906,670
3184:49052,9214,45066,54805,53449,17266,1138,111269,53945,55497
3193:17,616,302,654,58,542,84,15,564,29
3195:17,787,947,6,8,15,131,363,1126,1471
3220:17,302,654,29,58,301,354,76,84,182
3229:363,19275,1109,1591,15944,18570,22448,27974,1650,3015
3234:8,17,84,387,1412,2570,5347,14468,15744,3019
3237:23967,28605,3022,11241,75062,93846,110086,18951,6536,104201
3238:327,81463,3024,90890,37925,28363,3,6,8,10
3239:302,654,3,17,6,8,58,10507,11,15
3246:10981,7926,3034,44188,4510,5975,68369,19516,3150,122929
3258:17,616,302,654,58,518,8,542,15,84
3263:17,6,8,15,32,58,302,29,542,564
3264:103223,3053,102063
3277:76,168,1326,2265,1546,1913,2685,2848,5738,8860
3279:76,736,17,182,873,1196,866,1558,2512,58
3295:500,3082,10039,17403,29005,2,3,4,32773,6
3305:385,8192,60012,2,3,8197,6,8,10,11
3306:8783,5775,26134,3095,102437,61859,38740,47174,32126,25072
3308:327,17,128,1109,967,1287,302,3304,3,6
3309:17,654,58,302,616,8,15,61,101,6
3319:3109
3320:157,840,27070,3,6,8,10,11,13,14
3328:17,302,58,616,654,8,15,29,6,61
3329:225,3125,7569,22682,28584,1,3,6,8,10
3335:17,302,29,58,616,654,32,8,322,15
3346:402,718,4268,1370,1499,2955,3347,36134,34329,14393
3352:61,17,301,327,2495,3064,3146,9858,12750,19213
3353:4014,757,6113,34879,873,6507,8959,20276,60218,76
3360:17,70,508,114,116,947,1539,3017,6135,3154
3374:61,3169,39062,46882,109285,67057,116855,8752,20752,654
3376:70,81,17,888,962,1239,2241,2449,2527,3137
3383:1462,35004,3178,75000,42883,90139,51044,57596,58287,30093
3386:236,3448,11621,10075,299,3181,4756,5080,80647,18017
3411:70,8071,16447,22805,273,1667,12816,26577,3203,4215
3412:129,16258,2051,12039,88968,6921,43024,72467,107299,71593
3413:245,508,301,1002,1410,378,441,710,1065,2200
3416:1712,57347,24581,6,8,11,13,15,17,16404
3419:302,17,58,542,61,616,654,70,224,3101
3421:302,616,58,654,17,238,29,736,1102,114
3423:3,6,7,8,10,11,65548,13,14,15
3426:61,554,1196,17,58,302,616,654,1136,3223
3428:616,518,76,564,902,29,1405,327,363,826
3429:17,58,616,29,238,302,363,654,736,866
3431:80576,88768,1730,2139,34500,683,76,3225,47290,18459
3432:76,34091,3226,10773,65536,3,4,6,7,8
3450:508,348,1069,1149,2848,5689,37271,5807,71732,6545
